,x1,y1,x2,y2,x3,y3,x4,y4,result_text
0,4,2,30,2,30,21,4,21,36
1,240,41,272,41,272,58,240,58,and
2,347,42,426,39,426,59,348,63,products
3,10,42,28,42,28,58,10,58,it
4,36,42,81,42,81,58,36,58,takes
5,89,42,128,42,128,58,89,58,time
6,166,40,231,43,230,63,165,59,develop
7,280,42,338,42,338,58,280,58,launch
8,436,42,553,42,553,61,436,61,consequently
9,137,44,156,44,156,58,137,58,to
10,562,44,609,46,609,61,562,59,many
11,225,74,289,74,289,92,225,92,months
12,301,74,352,74,352,92,301,92,ahead
13,365,74,385,74,385,92,365,92,of
14,2,78,91,74,92,92,2,96,companies
15,104,75,152,78,151,93,103,90,know
16,164,76,190,76,190,90,164,90,6
17,394,75,434,77,433,93,393,90,time
18,446,75,483,76,482,93,445,91,that
19,495,73,534,79,531,97,492,91,they
20,544,76,574,76,574,90,544,90,will
21,588,76,609,76,609,92,588,92,be
22,190,78,210,78,210,92,190,92,12
23,2,104,87,109,86,129,1,125,launching
24,150,110,220,105,222,125,152,130,product
25,93,113,101,113,101,125,93,125,a
26,110,112,146,112,146,124,110,124,new
27,298,169,348,169,348,188,298,188,called
28,360,169,422,169,422,186,360,186,demand
29,2,170,30,170,30,189,2,189,caj
30,42,170,78,170,78,188,42,188,this
31,89,168,172,171,171,191,88,187,marketing
32,182,170,262,170,262,190,182,190,technique
33,272,170,288,170,288,186,272,186,is
34,434,170,504,170,504,186,434,186,creation
35,516,170,533,170,533,188,516,188,it
36,542,170,609,170,609,186,542,186,involves
37,390,201,497,205,497,223,390,218,revolutionary
38,3,200,69,205,67,223,1,218,creating
39,106,204,144,204,144,218,106,218,buzz
40,158,204,205,204,205,218,158,218,about
41,290,204,378,202,378,222,290,224,potentially
42,510,204,577,204,577,218,510,218,nutrient
43,82,208,92,208,92,220,82,220,a
44,220,208,229,208,229,220,220,220,a
45,244,206,278,206,278,218,244,218,new
46,590,206,609,206,609,218,590,218,or
47,3,233,69,238,67,258,1,253,training
48,84,233,164,238,163,259,82,254,technique
49,179,235,243,235,243,255,179,255,through
50,260,236,346,236,346,257,260,257,publishing
51,361,236,421,236,421,252,361,252,articles
52,437,236,469,236,469,253,437,253,and
53,510,236,558,236,558,252,510,252,books
54,576,236,610,236,610,253,576,253,that
55,468,237,494,237,494,253,468,253,for
56,2,269,77,269,77,285,2,285,stimulate
57,88,269,116,269,116,286,88,286,the
58,125,269,189,269,189,285,125,285,readers
59,277,269,318,269,318,285,277,285,once
60,329,269,362,269,362,286,329,286,this
61,398,268,443,271,442,288,397,285,done
62,519,270,582,267,583,285,520,288,product
63,200,270,264,270,264,285,200,285,interest
64,370,270,386,270,386,285,370,285,is
65,593,270,609,270,609,285,593,285,is
66,476,272,509,272,509,285,476,285,new
67,453,273,464,273,464,285,453,285,a
68,2,301,77,301,77,318,2,318,launched
69,162,334,181,334,181,350,162,350,of
70,292,334,336,336,335,357,291,354,begin
71,460,334,517,334,517,350,460,350,articles
72,527,332,611,337,610,356,525,351,discussing
73,4,336,30,336,30,354,4,354,bj
74,40,336,77,336,77,350,40,350,over
75,108,336,153,336,153,350,108,350,series
76,188,335,243,338,242,353,187,350,issues
77,344,336,362,336,362,350,344,350,to
78,86,338,97,338,97,350,86,350,a
79,250,338,282,338,282,354,250,354,you
80,372,338,398,338,398,350,372,350,see
81,408,338,450,338,450,350,408,350,more
82,2,368,34,368,34,385,2,385,this
83,81,368,148,368,148,384,81,384,nutrient
84,154,368,185,368,185,384,154,384,and
85,191,370,264,365,266,385,192,390,potential
86,296,368,362,368,362,384,296,384,enhance
87,369,364,436,369,434,390,368,385,training
88,441,368,497,368,497,385,441,385,andjor
89,502,368,607,365,608,383,502,387,performance
90,272,369,288,369,288,384,272,384,to
91,41,372,74,372,74,384,41,384,new
92,57,400,96,400,96,417,57,417,after
93,283,401,347,398,348,418,284,421,product
94,377,398,489,401,489,421,376,418,coincidentally
95,494,400,568,400,568,417,494,417,launched
96,4,400,48,402,47,418,3,417,then
97,103,402,142,400,143,417,104,419,416
98,150,400,215,401,214,418,150,417,months
99,353,401,369,401,369,417,353,417,is
100,576,401,610,401,610,418,576,418,that
101,242,404,277,404,277,417,242,417,new
102,225,406,233,406,233,417,225,417,a
103,76,433,105,433,105,452,76,452,the
104,108,434,193,432,193,452,109,455,ingredient
105,318,433,394,433,394,452,318,452,discussed
106,2,434,69,434,69,450,2,450,contains
107,197,434,232,434,232,452,197,452,that
108,237,434,266,434,266,450,237,450,has
109,273,434,312,434,312,450,273,450,been
110,400,434,418,434,418,452,400,452,in
111,424,436,493,433,493,450,425,453,previous
112,498,434,552,434,552,450,498,450,issues
113,560,434,609,434,609,450,560,450,books
114,2,466,33,466,33,482,2,482,and
115,208,466,248,468,247,484,207,482,have
116,294,466,333,466,333,482,294,482,been
117,341,466,378,466,378,482,341,482,used
118,410,466,476,466,476,482,410,482,vehicles
119,40,470,134,464,135,482,41,489,supplement
120,141,467,201,468,201,484,141,482,reviews
121,254,468,286,468,286,482,254,482,also
122,482,468,500,468,500,482,482,482,to
123,505,470,574,467,575,483,506,487,promote
124,582,468,609,468,609,484,582,484,the
125,385,470,405,470,405,482,385,482,as
126,124,498,154,498,154,516,124,516,and
127,2,500,34,500,34,516,2,516,sale
128,41,500,61,500,61,517,41,517,of
129,64,500,117,500,117,516,64,516,fitness
130,161,500,233,500,233,516,161,516,nutrition
131,238,501,314,498,314,515,238,519,products
132,566,532,609,532,609,549,566,549,often
133,2,533,30,533,30,552,2,552,c
134,40,533,60,533,60,550,40,550,in
135,69,533,114,533,114,549,69,549,order
136,213,533,274,533,274,549,213,549,interest
137,285,533,304,533,304,550,285,550,in
138,313,533,341,533,341,550,313,550,the
139,350,534,419,532,420,551,350,553,product
140,428,536,514,532,515,550,429,553,companies
141,524,534,555,532,556,547,525,550,will
142,125,534,142,534,142,549,125,549,to
143,153,534,202,534,202,549,153,549,create
144,2,565,57,565,57,582,2,582,launch
145,173,564,264,567,263,587,172,583,advertising
146,537,564,610,567,609,587,536,583,industry
147,102,566,160,566,160,582,102,582,market
148,276,566,365,566,365,586,276,586,campaigns
149,378,566,398,566,398,582,378,582,in
150,410,566,438,566,438,582,410,582,the
151,452,566,524,566,524,582,452,582,nutrition
152,70,569,104,569,104,585,70,585,pre
153,2,598,61,598,61,614,2,614,articles
154,101,598,141,598,141,614,101,614,often
155,213,596,296,600,295,620,212,616,discussing
156,430,598,480,598,480,614,430,614,under
157,149,600,205,600,205,614,149,614,written
158,360,600,425,600,425,616,360,616,nutrient
159,485,600,592,600,592,620,485,620,investigation
160,66,602,93,602,93,616,66,616,are
161,302,604,312,604,312,616,302,616,a
162,318,602,353,602,353,614,318,614,new
